,codeCompagnie,NbrSinistre,typeIntermediaire,VolontaireAccidents,CountSinisterAdvr,naturePolice,Etat_Police,vehicule_id,assure_id,classeBonusMalus,CONTRAT_EN_COURS,puissanceFiscal,energie,etatVehicule,libUsage,identificationTiers,pourcentadeDeResponsabilite,porcentageCompagnieAdverse,natureDuSinistre,annee_dateOuvertureDuSinistre,Duree,Fraud,annee_effet_police,mois_effet_police,jour_effet_police,annee_date_Calcule,mois_date_Calcule,jour_date_Calcule,mois_dateOuvertureDuSinistre,jour_dateOuvertureDuSinistre,mois_dateEcheancePolice,jour_dateEcheancePolice
22583,6,1,1,1.0,1,0,2,1061439,1045241,3,1,4,2,1,8,0,0,100,1,2017,1058,0,2016,12,8,2019,11,1,7,27,12,8
22584,6,1,1,1.0,1,0,2,1061847,1045742,5,0,5,3,1,13,0,0,100,1,2017,1085,0,2016,6,11,2019,6,1,8,2,6,11
22585,6,2,1,1.0,1,0,2,1061847,1045742,5,0,5,3,1,13,0,100,0,1,2018,1085,0,2016,6,11,2019,6,1,2,8,6,11
22586,6,1,1,1.0,1,0,2,1061884,1045787,8,1,4,2,1,8,0,0,100,1,2017,2546,0,2012,10,11,2019,10,1,11,1,10,11
22587,6,1,1,1.0,1,0,2,1061959,1045872,3,1,7,2,1,8,0,0,100,1,2017,1821,0,2014,8,6,2019,8,1,11,28,8,6
22588,6,1,1,1.0,1,0,2,1062073,1045982,11,0,5,2,1,8,0,50,50,1,2017,1440,0,2015,5,22,2019,5,1,4,5,5,22
22589,6,1,1,1.0,1,0,2,1062112,1046019,1,0,7,2,1,8,0,0,100,1,2017,704,0,2017,7,27,2019,7,1,8,17,7,27
22590,6,1,1,1.0,1,0,0,293252,1046060,8,1,7,3,1,8,0,0,100,1,2017,0,0,2016,12,30,2016,12,30,8,21,12,30
22591,6,1,2,1.0,1,0,0,1062253,1046192,3,1,8,2,1,8,0,0,100,1,2017,2449,0,2010,8,28,2017,5,12,5,16,8,28
22592,6,1,2,1.0,1,0,0,689588,1046197,2,1,4,2,1,8,0,0,100,1,2017,2192,0,2012,1,13,2018,1,13,9,4,1,13
22593,6,1,2,1.0,1,0,2,1062265,1046203,2,1,6,2,1,8,0,0,100,1,2017,1772,0,2014,12,25,2019,11,1,6,9,12,25
22594,6,1,1,1.0,1,0,2,1062563,1046379,4,0,8,2,1,8,0,0,100,1,2017,1090,0,2016,4,6,2019,4,1,9,13,4,6
22595,6,1,1,1.0,1,0,0,1062860,1046828,8,1,5,2,1,8,0,0,100,1,2017,0,0,2017,1,5,2017,1,5,6,16,1,5
22596,6,1,1,1.0,1,0,2,1051894,1047169,9,1,5,3,1,8,0,100,0,1,2017,1086,0,2016,3,10,2019,3,1,10,19,3,10
22597,6,1,1,1.0,1,0,2,1063216,1047198,4,1,5,2,1,8,0,0,100,1,2017,1800,0,2014,8,27,2019,8,1,6,19,8,27
22598,6,1,2,1.0,1,0,2,1063399,1047416,4,1,4,2,1,8,0,100,0,1,2017,1073,0,2016,5,23,2019,5,1,9,4,5,23
22599,1,1,1,1.0,1,0,2,439428,36330,4,0,17,3,1,13,3,100,0,1,2016,1446,0,2015,9,16,2019,9,1,12,1,9,16
22600,1,1,1,1.0,1,0,0,439758,202719,2,1,6,2,1,8,3,100,0,1,2016,0,0,2016,9,16,2016,9,16,11,23,9,16
22601,1,1,1,1.0,1,0,2,441063,419792,7,1,4,2,1,8,3,75,25,1,2017,1445,0,2015,3,17,2019,3,1,1,5,3,17
22602,1,1,1,1.0,1,0,2,441174,419899,2,1,5,2,1,8,3,100,0,1,2017,731,0,2015,9,17,2017,9,17,1,3,9,17
22603,1,1,1,1.0,1,0,2,442261,403427,6,1,5,3,1,8,3,100,0,1,2016,2174,0,2013,9,18,2019,9,1,11,11,9,18
22604,1,2,1,1.0,1,0,2,442261,403427,6,1,5,3,1,8,3,100,0,1,2017,2174,0,2013,9,18,2019,9,1,1,27,9,18
22605,1,1,3,1.0,1,0,0,443769,256933,4,1,5,2,1,8,3,100,0,1,2017,731,0,2014,9,19,2016,9,19,7,5,9,19
22606,1,1,1,1.0,1,0,2,444376,422924,3,1,7,2,1,8,3,100,0,1,2017,2173,0,2013,9,19,2019,9,1,4,17,9,19
22607,1,1,1,1.0,1,0,2,445243,423698,3,0,10,3,1,13,3,100,0,1,2016,2537,0,2012,9,20,2019,9,1,12,29,9,20
